,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,SiteEnergyUseWN(kBtu),GHGEmissions(MetricTonsCO2e),ENERGYSTARScore
1565,NonResidential,Self-Storage Facility,7,Magnolia / queen anne,1915,1.0,3.0,39952,0,39952,Self-Storage Facility,39952.0,0.0,0.0,58114.19922,0.4,
1566,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1963,1.0,4.0,28674,0,28674,Multifamily Housing,28674.0,0.0,0.0,762156.625,9.36,84.0
1567,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1962,1.0,3.0,21240,0,21240,Multifamily Housing,21240.0,0.0,0.0,577552.6875,3.72,71.0
1568,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1990,1.0,4.0,115575,0,115575,Multifamily Housing,115575.0,0.0,0.0,4607296.5,102.3,68.0
1569,NonResidential,Small- and Mid-Sized Office,7,Magnolia / queen anne,1961,1.0,2.0,20022,0,20022,Office,20784.0,0.0,0.0,688824.0,4.58,80.0
1570,NonResidential,Distribution Center,7,Magnolia / queen anne,1960,1.0,2.0,36498,0,36498,Distribution Center,18229.0,17200.0,0.0,602201.625,14.81,89.0
1571,NonResidential,Distribution Center,7,Magnolia / queen anne,1968,1.0,1.0,35946,0,35946,Distribution Center,31845.0,4101.0,0.0,503210.6875,11.08,
1572,NonResidential,Small- and Mid-Sized Office,7,Magnolia / queen anne,2007,1.0,4.0,30152,5680,24472,Office,25184.0,4968.0,0.0,845044.125,5.94,96.0
1573,NonResidential,Small- and Mid-Sized Office,7,Magnolia / queen anne,1979,1.0,4.0,22365,0,22365,Office,21617.0,0.0,0.0,727385.8125,5.07,71.0
1574,NonResidential,Small- and Mid-Sized Office,7,Magnolia / queen anne,1994,1.0,4.0,30172,0,30172,Office,30172.0,0.0,0.0,967548.3125,6.3,82.0
1575,Multifamily MR (5-9),Mid-Rise Multifamily,6,Ballard,2008,1.0,6.0,75638,0,75638,Multifamily Housing,50179.0,0.0,0.0,1627547.625,10.93,76.0
1576,Multifamily LR (1-4),Low-Rise Multifamily,6,Ballard,1988,1.0,3.0,23466,0,23466,Multifamily Housing,17945.0,1320.0,606.0,466516.4063,3.08,
1577,Multifamily MR (5-9),Mid-Rise Multifamily,6,Ballard,1990,1.0,5.0,30199,0,30199,Multifamily Housing,20540.0,0.0,0.0,833409.0,5.46,60.0
1578,NonResidential,Warehouse,6,Ballard,1927,1.0,4.0,42500,0,42500,Non-Refrigerated Warehouse,42500.0,5091.0,0.0,262995.3125,1.68,100.0
1579,NonResidential,Small- and Mid-Sized Office,6,Ballard,1901,1.0,4.0,23032,0,23032,Office,14448.0,5300.0,1460.0,1172535.25,7.82,
1580,Multifamily MR (5-9),Mid-Rise Multifamily,6,Ballard,2008,1.0,6.0,197368,0,197368,Multifamily Housing,144947.0,43521.0,8900.0,8530357.0,175.3,28.0
1581,NonResidential,Other,6,Ballard,1900,1.0,3.0,45750,4914,40836,Other,42850.0,2900.0,0.0,7536508.5,303.81,
1582,Multifamily LR (1-4),Low-Rise Multifamily,6,Ballard,1911,1.0,4.0,30200,0,30200,Multifamily Housing,30200.0,0.0,0.0,731367.0,21.69,100.0
1583,NonResidential,Small- and Mid-Sized Office,6,Ballard,1968,1.0,2.0,23500,0,23500,Office,23500.0,0.0,0.0,1745284.25,34.52,26.0
1584,NonResidential,Small- and Mid-Sized Office,6,Ballard,1966,1.0,1.0,22282,0,22282,Office,22282.0,0.0,0.0,665681.875,16.67,93.0
1585,NonResidential,Self-Storage Facility,6,Ballard,1902,1.0,2.0,24000,0,24000,Self-Storage Facility,24000.0,0.0,0.0,599426.5,17.39,
1586,Multifamily LR (1-4),Low-Rise Multifamily,6,Ballard,1964,1.0,4.0,36000,0,36000,Multifamily Housing,32471.0,3529.0,0.0,930534.125,6.06,72.0
1587,NonResidential,Mixed Use Property,6,Ballard,1909,1.0,3.0,27085,0,27085,Strip Mall,9500.0,8196.0,6700.0,2151546.25,60.67,
1588,Multifamily LR (1-4),Low-Rise Multifamily,5,Northeast,1979,1.0,4.0,75154,0,75154,Multifamily Housing,75154.0,0.0,0.0,2018943.0,19.7,70.0
1589,Multifamily LR (1-4),Low-Rise Multifamily,5,Northwest,1987,1.0,3.0,24156,0,24156,Multifamily Housing,20475.0,6308.0,0.0,566408.5,3.63,84.0
1590,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1975,1.0,3.0,79963,0,79963,Multifamily Housing,73187.0,3248.0,0.0,2309997.25,14.83,13.0
1591,Multifamily LR (1-4),Low-Rise Multifamily,6,Northwest,1994,1.0,3.0,46439,0,46439,Multifamily Housing,46439.0,0.0,0.0,1494319.25,30.49,
1592,Multifamily LR (1-4),Low-Rise Multifamily,5,Northwest,1988,1.0,4.0,57693,0,57693,Multifamily Housing,57693.0,0.0,0.0,1245218.0,8.42,91.0
1593,Multifamily LR (1-4),Low-Rise Multifamily,5,Northwest,1995,1.0,3.0,26040,0,26040,Multifamily Housing,26040.0,0.0,0.0,926708.875,6.18,39.0
1595,NonResidential,Small- and Mid-Sized Office,5,North,1931,1.0,2.0,37500,0,37500,Office,37500.0,0.0,0.0,2448649.75,44.26,58.0
1596,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1990,1.0,3.0,28392,0,28392,Multifamily Housing,21642.0,11386.0,6750.0,1256613.5,8.46,56.0
1597,NonResidential,K-12 School,5,Northwest,1930,1.0,3.0,23983,0,23983,K-12 School,23983.0,0.0,0.0,1270514.75,33.28,61.0
1598,NonResidential,Distribution Center,1,Delridge,1980,1.0,1.0,24100,0,24100,Distribution Center,20100.0,3500.0,0.0,939941.6875,30.49,22.0
1599,Multifamily LR (1-4),Low-Rise Multifamily,1,Southwest,1979,1.0,3.0,24371,0,24371,Multifamily Housing,20319.0,0.0,0.0,809833.125,5.45,10.0
1600,NonResidential,K-12 School,4,Northeast,2004,3.0,2.0,31343,0,31343,K-12 School,51515.0,0.0,0.0,4277566.0,128.66,5.0
1601,Multifamily LR (1-4),Low-Rise Multifamily,1,Southwest,1980,1.0,4.0,34142,0,34142,Multifamily Housing,34142.0,0.0,0.0,818431.6875,5.33,79.0
1602,Multifamily MR (5-9),Mid-Rise Multifamily,7,Magnolia / queen anne,1995,1.0,5.0,32927,415,32512,Multifamily Housing,32927.0,0.0,0.0,1208117.875,29.66,62.0
1603,Multifamily HR (10+),High-Rise Multifamily,7,Downtown,1979,1.0,27.0,117069,0,117069,Multifamily Housing,164210.0,25600.0,6200.0,6547260.0,45.6,
1604,Multifamily MR (5-9),Mid-Rise Multifamily,4,Northeast,1996,1.0,6.0,30713,0,30713,Multifamily Housing,21454.0,4139.0,0.0,855469.875,18.11,
1605,Multifamily MR (5-9),Mid-Rise Multifamily,6,Northwest,2003,1.0,6.0,125774,0,125774,Multifamily Housing,79586.0,12051.0,3764.0,2735056.0,30.13,
1606,NonResidential,Mixed Use Property,6,Northwest,1996,1.0,3.0,55912,22850,33062,Parking,24052.0,23501.0,9561.0,2450442.75,17.08,
1607,NonResidential,Other,7,Magnolia / queen anne,1957,1.0,2.0,20294,0,20294,Other,18000.0,2294.0,0.0,1845057.875,67.45,
1608,NonResidential,Small- and Mid-Sized Office,7,Magnolia / queen anne,1983,1.0,4.0,40571,10849,29722,Office,24008.0,0.0,0.0,1286817.375,8.97,64.0
1609,NonResidential,Small- and Mid-Sized Office,7,Magnolia / queen anne,1983,1.0,4.0,41707,15659,26048,Office,41707.0,12000.0,0.0,1785685.5,12.24,78.0
1610,NonResidential,Mixed Use Property,7,Magnolia / queen anne,1960,1.0,2.0,57644,0,57644,Office,20176.0,19440.0,15490.0,2300589.0,42.87,
1611,NonResidential,Warehouse,7,Magnolia / queen anne,1955,1.0,2.0,39497,0,39497,Non-Refrigerated Warehouse,25547.0,13950.0,0.0,1809734.75,28.28,9.0
1612,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,2001,1.0,3.0,69881,0,69881,Multifamily Housing,69881.0,0.0,0.0,1611521.125,25.12,88.0
1613,Multifamily MR (5-9),Mid-Rise Multifamily,7,Magnolia / queen anne,1991,1.0,5.0,38255,18278,19977,Multifamily Housing,39141.0,18278.0,5047.0,934980.875,6.52,99.0
1614,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1963,1.0,3.0,21094,0,21094,Multifamily Housing,21094.0,0.0,0.0,628589.375,4.08,78.0
1615,Multifamily MR (5-9),Mid-Rise Multifamily,7,Magnolia / queen anne,1988,1.0,7.0,28799,0,28799,Multifamily Housing,22694.0,6105.0,0.0,761254.625,5.02,89.0
1616,Multifamily LR (1-4),Low-Rise Multifamily,5,Northwest,1992,1.0,4.0,34813,0,34813,Multifamily Housing,27892.0,6964.0,0.0,916478.3125,6.05,83.0
1617,Multifamily LR (1-4),Low-Rise Multifamily,3,East,1961,1.0,4.0,23727,0,23727,Multifamily Housing,23727.0,0.0,0.0,859684.6875,5.58,57.0
1618,Multifamily LR (1-4),Low-Rise Multifamily,3,East,1959,1.0,4.0,22992,0,22992,Multifamily Housing,22992.0,0.0,0.0,762182.0,5.01,44.0
1619,Multifamily LR (1-4),Low-Rise Multifamily,3,East,1958,1.0,3.0,27852,0,27852,Multifamily Housing,27852.0,0.0,0.0,882407.3125,5.75,82.0
1620,Multifamily LR (1-4),Low-Rise Multifamily,3,East,1906,1.0,3.0,24560,0,24560,Multifamily Housing,20235.0,0.0,0.0,840253.5,19.23,23.0
1621,Nonresidential COS,Other,3,East,1932,1.0,1.0,33087,0,33087,Other - Entertainment/Public Assembly,53776.0,0.0,0.0,3944599.75,121.9,
1622,Multifamily LR (1-4),Low-Rise Multifamily,7,Lake union,1908,1.0,3.0,29970,0,29970,Multifamily Housing,29970.0,0.0,0.0,645334.125,30.34,100.0
1623,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1951,1.0,2.0,143498,0,143498,Multifamily Housing,143498.0,0.0,0.0,8710096.0,375.56,99.0
1624,NonResidential,Small- and Mid-Sized Office,5,Northwest,1982,1.0,2.0,27574,0,27574,Office,27574.0,0.0,0.0,1243709.625,8.44,73.0
1625,Multifamily LR (1-4),Low-Rise Multifamily,5,Northwest,1968,1.0,4.0,227233,0,227233,Multifamily Housing,235590.0,0.0,0.0,5371872.0,36.09,84.0
1626,Multifamily LR (1-4),Low-Rise Multifamily,5,Northwest,1986,1.0,4.0,123841,0,123841,Multifamily Housing,81462.0,0.0,0.0,2855580.5,31.04,65.0
1627,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1977,1.0,3.0,24288,0,24288,Multifamily Housing,24288.0,0.0,0.0,636575.1875,4.18,75.0
1628,NonResidential,Retail Store,5,North,1965,1.0,1.0,24982,0,24982,Retail Store,24982.0,0.0,0.0,335245.0,2.34,99.0
1629,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1987,1.0,3.0,112424,0,112424,Multifamily Housing,82706.0,1500.0,0.0,2583857.25,17.12,90.0
1630,NonResidential,Senior Care Community,5,North,1998,1.0,5.0,43661,0,43661,Senior Care Community,43661.0,0.0,0.0,4141925.0,82.57,4.0
1631,Multifamily LR (1-4),Senior Care Community,5,North,1992,1.0,4.0,94711,0,94711,Senior Care Community,94717.0,0.0,0.0,4668274.5,101.76,36.0
1632,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1986,1.0,4.0,56996,0,56996,Multifamily Housing,41685.0,10504.0,0.0,1446890.75,9.51,56.0
1633,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1963,1.0,3.0,79014,0,79014,Multifamily Housing,81722.0,0.0,0.0,2390304.25,15.88,70.0
1634,Multifamily MR (5-9),Senior Care Community,5,North,1992,1.0,5.0,21620,0,21620,Senior Care Community,22000.0,2400.0,0.0,2080406.25,66.93,
1635,NonResidential,Small- and Mid-Sized Office,5,Northwest,1987,1.0,3.0,76105,27307,48798,Office,76105.0,0.0,0.0,2596383.25,17.24,91.0
1636,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1989,1.0,3.0,21422,0,21422,Multifamily Housing,21422.0,0.0,0.0,643295.0,4.26,75.0
1637,Multifamily LR (1-4),Low-Rise Multifamily,4,Lake union,1928,1.0,3.0,20384,0,20384,Multifamily Housing,20384.0,0.0,0.0,666623.125,26.31,100.0
1638,Multifamily LR (1-4),Low-Rise Multifamily,4,Lake union,1977,1.0,3.0,20383,0,20383,Multifamily Housing,20383.0,768.0,0.0,464698.1875,3.01,
1639,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1976,1.0,3.0,24288,0,24288,Multifamily Housing,24288.0,0.0,0.0,682668.0,4.46,67.0
1640,NonResidential,Mixed Use Property,5,North,1952,1.0,2.0,32009,0,32009,Non-Refrigerated Warehouse,17500.0,15770.0,4000.0,2177737.0,44.28,
1641,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1979,1.0,3.0,24552,0,24552,Multifamily Housing,24552.0,0.0,0.0,753369.5,4.92,46.0
1642,Multifamily MR (5-9),Mid-Rise Multifamily,5,North,1970,1.0,7.0,88340,0,88340,Multifamily Housing,88340.0,0.0,0.0,3858607.0,63.45,63.0
1643,NonResidential,Retail Store,5,North,1966,1.0,1.0,41615,0,41615,Retail Store,41615.0,0.0,0.0,2001296.75,13.25,69.0
1644,NonResidential,Medical Office,5,North,1988,1.0,3.0,28841,0,28841,Medical Office,28841.0,0.0,0.0,1525049.625,33.42,55.0
1645,NonResidential,Self-Storage Facility,5,North,1977,2.0,2.0,33344,0,33344,Self-Storage Facility,31360.0,984.0,0.0,129466.8984,0.86,
1646,Nonresidential COS,Other,5,North,2005,2.0,1.0,30498,0,30498,Other - Recreation,30498.0,0.0,0.0,2652254.5,80.19,
1647,Multifamily MR (5-9),Senior Care Community,5,North,1972,1.0,8.0,124904,0,124904,Senior Care Community,124848.0,0.0,0.0,7157025.0,135.11,15.0
1648,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1989,1.0,4.0,44645,0,44645,Multifamily Housing,37588.0,7057.0,0.0,1367471.0,9.06,55.0
1649,Multifamily LR (1-4),Mixed Use Property,7,Downtown,1901,1.0,3.0,44104,0,44104,Multifamily Housing,21000.0,11100.0,11100.0,1268988.25,8.16,
1650,Multifamily LR (1-4),Low-Rise Multifamily,1,Southwest,1988,1.0,4.0,24711,0,24711,Multifamily Housing,24711.0,0.0,0.0,585437.625,3.85,81.0
1651,NonResidential,K-12 School,1,Delridge,1924,1.0,2.0,42975,0,42975,K-12 School,21405.0,0.0,0.0,1124454.25,42.96,92.0
1652,Multifamily LR (1-4),Low-Rise Multifamily,5,Northwest,1974,1.0,3.0,21552,0,21552,Multifamily Housing,21552.0,0.0,0.0,577043.125,3.85,58.0
1653,NonResidential,Other,1,Delridge,1963,1.0,1.0,23260,0,23260,"Repair Services (Vehicle, Shoe, Locksmith, etc)",13075.0,10185.0,0.0,1803514.875,52.41,
1654,Multifamily LR (1-4),Low-Rise Multifamily,1,Delridge,1988,1.0,3.0,298714,0,298714,Multifamily Housing,142989.0,3155.0,0.0,5045478.5,39.57,61.0
1655,NonResidential,Small- and Mid-Sized Office,1,Delridge,1988,1.0,2.0,30659,0,30659,Office,27262.0,8653.0,285.0,2828171.5,55.85,88.0
1656,NonResidential,Other,7,Magnolia / queen anne,1920,1.0,2.0,27144,0,27144,Other,27144.0,0.0,0.0,1138349.25,32.58,
1657,NonResidential,Other,5,Northwest,1970,5.0,1.0,23166,0,23166,Other,23166.0,0.0,0.0,3648465.5,184.6,
1658,NonResidential,Medical Office,5,Northwest,1979,1.0,2.0,34759,0,34759,Medical Office,44667.0,0.0,0.0,1633105.375,11.39,81.0
1659,NonResidential,Hospital,5,Northwest,1966,8.0,1.0,415632,0,415632,Hospital (General Medical & Surgical),483520.0,266833.0,0.0,100328264.0,3278.11,85.0
1660,Multifamily LR (1-4),Low-Rise Multifamily,5,Northwest,1999,1.0,3.0,29810,0,29810,Multifamily Housing,37296.0,40.0,0.0,2024134.875,13.55,
1661,Multifamily LR (1-4),Low-Rise Multifamily,5,Northwest,1968,1.0,3.0,24163,0,24163,Multifamily Housing,24052.0,0.0,0.0,595017.875,3.96,84.0
1662,NonResidential,Worship Facility,5,Northwest,1965,1.0,2.0,44719,0,44719,Worship Facility,45909.0,1025.0,972.0,1781436.375,53.21,
1663,Multifamily LR (1-4),Low-Rise Multifamily,3,Central,1972,1.0,3.0,20368,0,20368,Multifamily Housing,20368.0,0.0,0.0,620477.875,4.09,32.0
1664,Multifamily LR (1-4),Low-Rise Multifamily,3,Central,1927,1.0,3.0,22059,0,22059,Multifamily Housing,22059.0,0.0,0.0,1957870.75,78.29,57.0
1665,NonResidential,Supermarket / Grocery Store,2,Greater duwamish,1965,1.0,1.0,21603,0,21603,Supermarket/Grocery Store,21603.0,0.0,0.0,5927199.5,129.89,16.0
1666,Multifamily HR (10+),High-Rise Multifamily,7,Magnolia / queen anne,1963,1.0,11.0,65538,0,65538,Multifamily Housing,65538.0,0.0,0.0,2693939.25,22.29,32.0
1667,Multifamily HR (10+),High-Rise Multifamily,7,Downtown,1980,1.0,18.0,125258,0,125258,Multifamily Housing,112950.0,8636.0,0.0,5202618.5,117.79,67.0
1668,Multifamily LR (1-4),Low-Rise Multifamily,1,Southwest,2000,1.0,3.0,26148,0,26148,Multifamily Housing,26148.0,0.0,0.0,1068830.875,18.72,
1669,Multifamily LR (1-4),Low-Rise Multifamily,6,Lake union,1988,1.0,4.0,24847,0,24847,Multifamily Housing,24847.0,0.0,0.0,689532.3125,4.51,72.0
1670,Multifamily LR (1-4),Low-Rise Multifamily,1,Southwest,1985,1.0,4.0,26827,0,26827,Multifamily Housing,22356.0,0.0,0.0,844363.1875,5.47,
1671,Multifamily MR (5-9),Mid-Rise Multifamily,1,Southwest,1973,2.0,5.0,63414,6181,57233,Multifamily Housing,63414.0,0.0,0.0,2486479.0,44.6,10.0
1672,Multifamily MR (5-9),Mid-Rise Multifamily,1,Southwest,2000,1.0,6.0,68400,0,68400,Multifamily Housing,68400.0,0.0,0.0,1194171.25,8.14,85.0
1673,Multifamily LR (1-4),Low-Rise Multifamily,4,Lake union,1986,1.0,4.0,25440,7600,17840,Multifamily Housing,21200.0,7600.0,0.0,674995.5,4.35,83.0
1674,Multifamily LR (1-4),Low-Rise Multifamily,3,Central,1986,1.0,3.0,33331,0,33331,Multifamily Housing,27791.0,5540.0,0.0,808540.5,5.42,
1675,Multifamily LR (1-4),Low-Rise Multifamily,1,Southwest,1968,1.0,3.0,68815,0,68815,Multifamily Housing,68815.0,0.0,0.0,1769178.25,11.87,64.0
1676,Multifamily MR (5-9),Mid-Rise Multifamily,1,Southwest,1994,1.0,6.0,31027,0,31027,Multifamily Housing,33500.0,0.0,0.0,1052068.5,14.81,
1677,NonResidential,Medical Office,3,East,1964,1.0,3.0,591981,0,591981,Medical Office,520187.0,282392.0,54159.0,103985264.0,3238.24,60.0
1678,NonResidential,Distribution Center,1,Delridge,1979,1.0,1.0,42900,0,42900,Distribution Center,43050.0,0.0,0.0,461205.5938,3.04,53.0
1679,Campus,Other,1,Delridge,2005,5.0,1.0,57952,0,57952,Adult Education,57952.0,0.0,0.0,3347245.25,96.15,
1680,NonResidential,Other,1,Delridge,1971,1.0,1.0,26232,0,26232,Other - Services,18262.0,7970.0,0.0,3315521.5,122.71,
1681,Multifamily MR (5-9),Mid-Rise Multifamily,1,Delridge,2010,1.0,6.0,435501,0,435501,Multifamily Housing,338660.0,39820.0,25747.0,14085977.0,305.05,94.0
1682,Multifamily LR (1-4),Low-Rise Multifamily,6,Northwest,1972,1.0,4.0,25472,3000,22472,Multifamily Housing,20842.0,0.0,0.0,389163.0,2.54,
1683,Multifamily LR (1-4),Low-Rise Multifamily,6,Northwest,1978,1.0,4.0,28918,0,28918,Multifamily Housing,28918.0,0.0,0.0,791132.625,6.31,
1684,Multifamily LR (1-4),Low-Rise Multifamily,6,Northwest,1990,1.0,4.0,43035,0,43035,Multifamily Housing,28543.0,10807.0,0.0,862168.0,5.8,77.0
1685,NonResidential,Warehouse,3,Downtown,1956,1.0,2.0,25840,0,25840,Non-Refrigerated Warehouse,25840.0,0.0,0.0,310602.3125,2.19,92.0
1686,NonResidential,Small- and Mid-Sized Office,2,Downtown,1988,1.0,1.0,45145,0,45145,Office,43813.0,0.0,0.0,1405510.25,43.63,
1687,Multifamily MR (5-9),Mid-Rise Multifamily,2,Downtown,1988,1.0,6.0,68669,0,68669,Multifamily Housing,68669.0,0.0,0.0,1849454.0,12.09,81.0
1688,NonResidential,Small- and Mid-Sized Office,3,Downtown,2001,1.0,5.0,70332,22095,48237,Office,44417.0,25915.0,0.0,2000777.25,19.12,89.0
1689,Multifamily LR (1-4),Low-Rise Multifamily,2,Greater duwamish,1992,1.0,3.0,24192,0,24192,Multifamily Housing,24192.0,0.0,0.0,534824.8125,3.5,
1690,Multifamily MR (5-9),Mid-Rise Multifamily,7,East,1965,1.0,5.0,44616,0,44616,Multifamily Housing,44616.0,0.0,0.0,1747326.875,11.24,62.0
1691,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1978,1.0,3.0,135955,0,135955,Multifamily Housing,143098.0,0.0,0.0,4210997.0,50.55,61.0
1692,Multifamily LR (1-4),Low-Rise Multifamily,4,Lake union,2005,1.0,4.0,66013,0,66013,Multifamily Housing,48550.0,12032.0,0.0,1838214.75,12.2,36.0
1693,Multifamily MR (5-9),Mid-Rise Multifamily,7,Magnolia / queen anne,1960,1.0,5.0,21822,0,21822,Multifamily Housing,21822.0,0.0,0.0,770349.3125,5.03,55.0
1694,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1978,1.0,4.0,34590,0,34590,Multifamily Housing,34590.0,0.0,0.0,703658.0,4.6,67.0
1695,Multifamily LR (1-4),Low-Rise Multifamily,6,Northwest,2000,1.0,3.0,37964,0,37964,Multifamily Housing,37964.0,0.0,0.0,1194672.25,8.1,18.0
1696,Multifamily LR (1-4),Low-Rise Multifamily,3,East,1907,1.0,3.0,22402,0,22402,Multifamily Housing,22402.0,0.0,0.0,720130.8125,7.09,64.0
1697,Multifamily MR (5-9),Mid-Rise Multifamily,7,East,2008,1.0,7.0,97490,0,97490,Multifamily Housing,61082.0,27493.0,8615.0,2925521.0,67.24,
1698,Multifamily MR (5-9),Mid-Rise Multifamily,3,East,1911,1.0,5.0,30985,0,30985,Multifamily Housing,31841.0,0.0,0.0,1210870.25,8.1,81.0
1699,Multifamily LR (1-4),Low-Rise Multifamily,3,East,1991,1.0,4.0,109874,0,109874,Multifamily Housing,71226.0,38648.0,0.0,3674416.5,76.67,60.0
1700,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1999,1.0,4.0,37692,0,37692,Multifamily Housing,23986.0,0.0,0.0,678906.8125,4.52,81.0
1701,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1966,1.0,4.0,31744,0,31744,Multifamily Housing,31744.0,0.0,0.0,782061.6875,5.2,70.0
1702,Multifamily LR (1-4),Low-Rise Multifamily,3,Central,1907,1.0,3.0,35000,0,35000,Multifamily Housing,35000.0,0.0,0.0,929197.6875,6.08,41.0
1703,SPS-District K-12,K-12 School,2,Greater duwamish,1971,1.0,1.0,50546,0,50546,K-12 School,53234.0,0.0,0.0,1220512.25,12.15,94.0
1704,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1930,1.0,4.0,36837,0,36837,Multifamily Housing,36837.0,0.0,0.0,1434297.75,44.4,30.0
1705,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1930,1.0,4.0,39520,0,39520,Multifamily Housing,39520.0,0.0,0.0,2724621.0,109.55,68.0
1706,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1929,1.0,4.0,41420,0,41420,Multifamily Housing,41420.0,0.0,0.0,1290222.25,32.35,63.0
1707,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1930,1.0,3.0,20798,0,20798,Multifamily Housing,20798.0,0.0,0.0,1378544.75,60.94,89.0
1708,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1930,1.0,4.0,32693,0,32693,Multifamily Housing,27035.0,0.0,0.0,2070112.75,86.86,66.0
1709,Multifamily LR (1-4),Low-Rise Multifamily,1,Southwest,1958,1.0,3.0,29811,6258,23553,Multifamily Housing,23553.0,6258.0,0.0,764063.625,5.03,69.0
1710,Multifamily MR (5-9),Mid-Rise Multifamily,1,Southwest,1989,1.0,5.0,22606,0,22606,Multifamily Housing,19531.0,3075.0,0.0,606213.3125,3.95,
1711,Multifamily LR (1-4),Low-Rise Multifamily,6,Ballard,2001,1.0,3.0,23381,0,23381,Multifamily Housing,23381.0,3500.0,0.0,444150.6875,2.93,
1712,NonResidential,Supermarket / Grocery Store,6,Ballard,1994,1.0,1.0,45522,0,45522,Supermarket/Grocery Store,45522.0,0.0,0.0,12559767.0,326.74,22.0
1713,NonResidential,Retail Store,5,Northwest,1979,1.0,2.0,20088,0,20088,Retail Store,16080.0,3500.0,508.0,337536.0938,2.28,
1714,Multifamily LR (1-4),Low-Rise Multifamily,1,Southwest,1990,1.0,4.0,27328,0,27328,Multifamily Housing,23466.0,3862.0,3508.0,1176168.25,7.74,23.0
1715,Multifamily MR (5-9),Mid-Rise Multifamily,1,Southwest,2014,1.0,7.0,72356,0,72356,Multifamily Housing,62989.0,28670.0,0.0,2618214.25,53.61,91.0
1716,Multifamily LR (1-4),Low-Rise Multifamily,1,Southwest,1969,1.0,3.0,24180,0,24180,Multifamily Housing,24180.0,0.0,0.0,581283.375,3.77,64.0
1717,Multifamily LR (1-4),Low-Rise Multifamily,1,Southwest,1980,1.0,4.0,23932,0,23932,Multifamily Housing,23932.0,0.0,0.0,687252.6875,4.56,
1718,Campus,Other,1,Greater duwamish,1989,5.0,2.0,138907,0,138907,Other,139557.0,0.0,0.0,8551562.0,179.55,
1719,NonResidential,Small- and Mid-Sized Office,1,Greater duwamish,1997,1.0,2.0,40657,0,40657,Office,40657.0,0.0,0.0,2828385.0,23.6,57.0
1720,NonResidential,Warehouse,1,Greater duwamish,1900,1.0,1.0,20200,0,20200,Non-Refrigerated Warehouse,18700.0,1500.0,0.0,283275.0,2.25,
1721,Multifamily HR (10+),High-Rise Multifamily,3,East,1967,1.0,17.0,212938,0,212938,Multifamily Housing,199136.0,13802.0,0.0,10814285.0,349.55,81.0
1722,Multifamily LR (1-4),Low-Rise Multifamily,3,East,1930,1.0,3.0,32688,0,32688,Multifamily Housing,29370.0,3318.0,0.0,1923281.25,78.42,74.0
1723,Multifamily LR (1-4),Low-Rise Multifamily,3,East,1948,1.0,3.0,50145,0,50145,Multifamily Housing,46445.0,3700.0,0.0,3225209.5,128.54,66.0
1724,Multifamily HR (10+),High-Rise Multifamily,3,East,2008,1.0,26.0,629615,174156,455459,Multifamily Housing,629615.0,121056.0,0.0,26781786.0,567.6,15.0
1725,Multifamily LR (1-4),Low-Rise Multifamily,3,East,1920,1.0,4.0,24900,0,24900,Multifamily Housing,24900.0,0.0,0.0,2069689.0,85.78,68.0
1726,Multifamily LR (1-4),Low-Rise Multifamily,3,East,1929,1.0,4.0,25380,0,25380,Multifamily Housing,25380.0,0.0,0.0,2233197.75,97.4,79.0
1727,Multifamily MR (5-9),Mid-Rise Multifamily,3,East,2009,1.0,6.0,32489,0,32489,Multifamily Housing,20346.0,0.0,0.0,2110448.5,48.08,18.0
